Algorithm,Run,OriginalSize,CompressedSize,CompressionTime(ns),DecompressionTime(ns),CompressionRatio(%),CompressionSavings(%),CompressionSpeedRatio(Perc/ms),Correctness
LZW,1,10143,3634,7617800,7646500,35.83,64.17,0.0000,Pass
LZW,2,10143,3634,5903200,7561000,35.83,64.17,0.0000,Pass
LZW,3,10143,3634,5769301,7551500,35.83,64.17,0.0000,Pass
LZW,4,10143,3634,5937501,7602100,35.83,64.17,0.0000,Pass
LZW,5,10143,3634,5713499,7629999,35.83,64.17,0.0000,Pass
LZW,6,10143,3634,5881800,7784300,35.83,64.17,0.0000,Pass
LZW,7,10143,3634,5805700,7672500,35.83,64.17,0.0000,Pass
LZW,8,10143,3634,5903699,7703400,35.83,64.17,0.0000,Pass
LZW,9,10143,3634,5795800,7660700,35.83,64.17,0.0000,Pass
LZW,10,10143,3634,5824100,7684601,35.83,64.17,0.0000,Pass
LZW,11,10143,3634,5868800,7679100,35.83,64.17,0.0000,Pass
LZW,12,10143,3634,5927200,7665201,35.83,64.17,0.0000,Pass
LZW,13,10143,3634,5795399,7749399,35.83,64.17,0.0000,Pass
LZW,14,10143,3634,5768899,7734500,35.83,64.17,0.0000,Pass
LZW,15,10143,3634,5893101,7871100,35.83,64.17,0.0000,Pass
LZW,16,10143,3634,5887501,7780500,35.83,64.17,0.0000,Pass
LZW,17,10143,3634,5924900,7956401,35.83,64.17,0.0000,Pass
LZW,18,10143,3634,5934699,7712300,35.83,64.17,0.0000,Pass
LZW,19,10143,3634,5920701,7661000,35.83,64.17,0.0000,Pass
LZW,20,10143,3634,6210300,7682600,35.83,64.17,0.0000,Pass
LZW,21,10143,3634,5814500,7540699,35.83,64.17,0.0000,Pass
LZW,22,10143,3634,5843700,7488300,35.83,64.17,0.0000,Pass
LZW,23,10143,3634,5766999,7411599,35.83,64.17,0.0000,Pass
LZW,24,10143,3634,5733600,7397300,35.83,64.17,0.0000,Pass
LZW,25,10143,3634,5670800,7724400,35.83,64.17,0.0000,Pass
LZW,26,10143,3634,5560300,7421701,35.83,64.17,0.0000,Pass
LZW,27,10143,3634,5714301,7346300,35.83,64.17,0.0000,Pass
LZW,28,10143,3634,5620900,7332199,35.83,64.17,0.0000,Pass
LZW,29,10143,3634,5653600,7307000,35.83,64.17,0.0000,Pass
LZW,30,10143,3634,5632899,7313500,35.83,64.17,0.0000,Pass
LZW,31,10143,3634,5663800,7290700,35.83,64.17,0.0000,Pass
LZW,32,10143,3634,5568600,7367900,35.83,64.17,0.0000,Pass
LZW,33,10143,3634,5720400,7504700,35.83,64.17,0.0000,Pass
LZW,34,10143,3634,5578201,7375299,35.83,64.17,0.0000,Pass
LZW,35,10143,3634,5589900,7309400,35.83,64.17,0.0000,Pass
LZW,36,10143,3634,5600301,7354400,35.83,64.17,0.0000,Pass
LZW,37,10143,3634,5562400,7313500,35.83,64.17,0.0000,Pass
LZW,38,10143,3634,5684701,7321801,35.83,64.17,0.0000,Pass
LZW,39,10143,3634,5592700,7729299,35.83,64.17,0.0000,Pass
LZW,40,10143,3634,6003500,7367800,35.83,64.17,0.0000,Pass
LZW,41,10143,3634,5576699,7291399,35.83,64.17,0.0000,Pass
LZW,42,10143,3634,5573000,7338100,35.83,64.17,0.0000,Pass
LZW,43,10143,3634,5578800,7301599,35.83,64.17,0.0000,Pass
LZW,44,10143,3634,5538300,7311300,35.83,64.17,0.0000,Pass
LZW,45,10143,3634,5551201,7377101,35.83,64.17,0.0000,Pass
LZW,46,10143,3634,5548001,7344101,35.83,64.17,0.0000,Pass
LZW,47,10143,3634,5511900,7645100,35.83,64.17,0.0000,Pass
LZW,48,10143,3634,5549200,7293800,35.83,64.17,0.0000,Pass
LZW,49,10143,3634,5571899,7243800,35.83,64.17,0.0000,Pass
LZW,50,10143,3634,5816100,7416401,35.83,64.17,0.0000,Pass
RLE,1,10143,39652,826500,1197400,390.93,-290.93,0.0005,Pass
RLE,2,10143,39652,791500,894199,390.93,-290.93,0.0005,Pass
RLE,3,10143,39652,778100,1042000,390.93,-290.93,0.0005,Pass
RLE,4,10143,39652,860500,1505499,390.93,-290.93,0.0005,Pass
RLE,5,10143,39652,807900,1294700,390.93,-290.93,0.0005,Pass
RLE,6,10143,39652,887900,1443600,390.93,-290.93,0.0004,Pass
RLE,7,10143,39652,800301,973399,390.93,-290.93,0.0005,Pass
RLE,8,10143,39652,773700,952601,390.93,-290.93,0.0005,Pass
RLE,9,10143,39652,906000,1060199,390.93,-290.93,0.0004,Pass
RLE,10,10143,39652,790801,1345900,390.93,-290.93,0.0005,Pass
RLE,11,10143,39652,1304800,1066600,390.93,-290.93,0.0003,Pass
RLE,12,10143,39652,818199,851900,390.93,-290.93,0.0005,Pass
RLE,13,10143,39652,982300,1022100,390.93,-290.93,0.0004,Pass
RLE,14,10143,39652,839501,841900,390.93,-290.93,0.0005,Pass
RLE,15,10143,39652,774699,856699,390.93,-290.93,0.0005,Pass
RLE,16,10143,39652,839200,864399,390.93,-290.93,0.0005,Pass
RLE,17,10143,39652,897201,837400,390.93,-290.93,0.0004,Pass
RLE,18,10143,39652,1131200,1067400,390.93,-290.93,0.0003,Pass
RLE,19,10143,39652,902300,862501,390.93,-290.93,0.0004,Pass
RLE,20,10143,39652,845301,872500,390.93,-290.93,0.0005,Pass
RLE,21,10143,39652,964201,859901,390.93,-290.93,0.0004,Pass
RLE,22,10143,39652,847699,836200,390.93,-290.93,0.0005,Pass
RLE,23,10143,39652,1004400,911299,390.93,-290.93,0.0004,Pass
RLE,24,10143,39652,869100,839199,390.93,-290.93,0.0004,Pass
RLE,25,10143,39652,1019101,1197299,390.93,-290.93,0.0004,Pass
