Algorithm,Run,OriginalSize,CompressedSize,CompressionTime(ns),DecompressionTime(ns),CompressionRatio(%),CompressionSavings(%),CompressionSpeedRatio(Perc/ms),Correctness
LZW,1,54264,658,8553399,1996601,1.21,98.79,0.0000,Pass
LZW,2,54264,658,7194399,1799001,1.21,98.79,0.0000,Pass
LZW,3,54264,658,7227600,1890699,1.21,98.79,0.0000,Pass
LZW,4,54264,658,8330500,1998199,1.21,98.79,0.0000,Pass
LZW,5,54264,658,7702899,1790500,1.21,98.79,0.0000,Pass
LZW,6,54264,658,7673900,1923400,1.21,98.79,0.0000,Pass
LZW,7,54264,658,7630299,1865299,1.21,98.79,0.0000,Pass
LZW,8,54264,658,6838200,2235000,1.21,98.79,0.0000,Pass
LZW,9,54264,658,6783100,1767499,1.21,98.79,0.0000,Pass
LZW,10,54264,658,6783200,2210301,1.21,98.79,0.0000,Pass
LZW,11,54264,658,6782901,1778199,1.21,98.79,0.0000,Pass
LZW,12,54264,658,6758901,2086700,1.21,98.79,0.0000,Pass
LZW,13,54264,658,6872400,1758800,1.21,98.79,0.0000,Pass
LZW,14,54264,658,7703600,2327800,1.21,98.79,0.0000,Pass
LZW,15,54264,658,7969300,1934399,1.21,98.79,0.0000,Pass
LZW,16,54264,658,7426299,2120700,1.21,98.79,0.0000,Pass
LZW,17,54264,658,6917000,2084400,1.21,98.79,0.0000,Pass
LZW,18,54264,658,6831300,2028000,1.21,98.79,0.0000,Pass
LZW,19,54264,658,6898200,1972400,1.21,98.79,0.0000,Pass
LZW,20,54264,658,7510500,1775100,1.21,98.79,0.0000,Pass
LZW,21,54264,658,6943400,1946201,1.21,98.79,0.0000,Pass
LZW,22,54264,658,6781299,2095599,1.21,98.79,0.0000,Pass
LZW,23,54264,658,6969100,1810600,1.21,98.79,0.0000,Pass
LZW,24,54264,658,7417400,2084300,1.21,98.79,0.0000,Pass
LZW,25,54264,658,6982601,2467801,1.21,98.79,0.0000,Pass
LZW,26,54264,658,6868200,2086799,1.21,98.79,0.0000,Pass
LZW,27,54264,658,6841700,1760300,1.21,98.79,0.0000,Pass
LZW,28,54264,658,6740500,1926800,1.21,98.79,0.0000,Pass
LZW,29,54264,658,6914600,1765201,1.21,98.79,0.0000,Pass
LZW,30,54264,658,6817499,1863200,1.21,98.79,0.0000,Pass
LZW,31,54264,658,6898799,2212900,1.21,98.79,0.0000,Pass
LZW,32,54264,658,6854301,2218001,1.21,98.79,0.0000,Pass
LZW,33,54264,658,6898700,2045301,1.21,98.79,0.0000,Pass
LZW,34,54264,658,6716800,1985701,1.21,98.79,0.0000,Pass
LZW,35,54264,658,7039500,1830200,1.21,98.79,0.0000,Pass
LZW,36,54264,658,6743300,2116500,1.21,98.79,0.0000,Pass
LZW,37,54264,658,6861400,1719000,1.21,98.79,0.0000,Pass
LZW,38,54264,658,6632300,1987501,1.21,98.79,0.0000,Pass
LZW,39,54264,658,6707500,1724300,1.21,98.79,0.0000,Pass
LZW,40,54264,658,6582700,1710701,1.21,98.79,0.0000,Pass
LZW,41,54264,658,7098601,1740100,1.21,98.79,0.0000,Pass
LZW,42,54264,658,6742801,1651301,1.21,98.79,0.0000,Pass
LZW,43,54264,658,6799499,1731400,1.21,98.79,0.0000,Pass
LZW,44,54264,658,6642999,1713499,1.21,98.79,0.0000,Pass
LZW,45,54264,658,6862201,1804901,1.21,98.79,0.0000,Pass
LZW,46,54264,658,6710400,1701699,1.21,98.79,0.0000,Pass
LZW,47,54264,658,6551100,1943300,1.21,98.79,0.0000,Pass
LZW,48,54264,658,7044500,2326400,1.21,98.79,0.0000,Pass
LZW,49,54264,658,6697000,2114800,1.21,98.79,0.0000,Pass
LZW,50,54264,658,6646900,1727900,1.21,98.79,0.0000,Pass
RLE,1,54264,8,508800,698000,0.01,99.99,0.0000,Pass
RLE,2,54264,8,449901,675000,0.01,99.99,0.0000,Pass
RLE,3,54264,8,425600,676301,0.01,99.99,0.0000,Pass
RLE,4,54264,8,426200,679701,0.01,99.99,0.0000,Pass
RLE,5,54264,8,558401,700500,0.01,99.99,0.0000,Pass
RLE,6,54264,8,428701,677200,0.01,99.99,0.0000,Pass
RLE,7,54264,8,484600,647200,0.01,99.99,0.0000,Pass
RLE,8,54264,8,758099,853299,0.01,99.99,0.0000,Pass
RLE,9,54264,8,484501,828199,0.01,99.99,0.0000,Pass
RLE,10,54264,8,451501,652400,0.01,99.99,0.0000,Pass
RLE,11,54264,8,631699,797101,0.01,99.99,0.0000,Pass
RLE,12,54264,8,487600,807601,0.01,99.99,0.0000,Pass
RLE,13,54264,8,434799,674100,0.01,99.99,0.0000,Pass
RLE,14,54264,8,560001,820401,0.01,99.99,0.0000,Pass
RLE,15,54264,8,520501,704301,0.01,99.99,0.0000,Pass
RLE,16,54264,8,492300,659000,0.01,99.99,0.0000,Pass
RLE,17,54264,8,570400,826300,0.01,99.99,0.0000,Pass
RLE,18,54264,8,510300,616901,0.01,99.99,0.0000,Pass
RLE,19,54264,8,427600,649099,0.01,99.99,0.0000,Pass
RLE,20,54264,8,472700,837999,0.01,99.99,0.0000,Pass
RLE,21,54264,8,515000,626600,0.01,99.99,0.0000,Pass
RLE,22,54264,8,424000,693200,0.01,99.99,0.0000,Pass
RLE,23,54264,8,417800,798200,0.01,99.99,0.0000,Pass
RLE,24,54264,8,447100,633701,0.01,99.99,0.0000,Pass
RLE,25,54264,8,430300,650501,0.01,99.99,0.0000,Pass
RLE,26,54264,8,416800,669200,0.01,99.99,0.0000,Pass
RLE,27,54264,8,514900,697300,0.01,99.99,0.0000,Pass
RLE,28,54264,8,447801,657200,0.01,99.99,0.0000,Pass
RLE,29,54264,8,421501,688700,0.01,99.99,0.0000,Pass
RLE,30,54264,8,626600,829900,0.01,99.99,0.0000,Pass
RLE,31,54264,8,432300,676501,0.01,99.99,0.0000,Pass
RLE,32,54264,8,480800,631700,0.01,99.99,0.0000,Pass
RLE,33,54264,8,755599,701800,0.01,99.99,0.0000,Pass
RLE,34,54264,8,428700,727100,0.01,99.99,0.0000,Pass
RLE,35,54264,8,427800,676201,0.01,99.99,0.0000,Pass
RLE,36,54264,8,727999,833300,0.01,99.99,0.0000,Pass
RLE,37,54264,8,558100,660001,0.01,99.99,0.0000,Pass
RLE,38,54264,8,436200,653300,0.01,99.99,0.0000,Pass
RLE,39,54264,8,672301,818800,0.01,99.99,0.0000,Pass
RLE,40,54264,8,431700,652300,0.01,99.99,0.0000,Pass
RLE,41,54264,8,440301,615199,0.01,99.99,0.0000,Pass
RLE,42,54264,8,585401,843100,0.01,99.99,0.0000,Pass
RLE,43,54264,8,492400,616800,0.01,99.99,0.0000,Pass
RLE,44,54264,8,434900,619599,0.01,99.99,0.0000,Pass
RLE,45,54264,8,453400,912499,0.01,99.99,0.0000,Pass
RLE,46,54264,8,439100,661400,0.01,99.99,0.0000,Pass
RLE,47,54264,8,434201,634299,0.01,99.99,0.0000,Pass
RLE,48,54264,8,482700,808500,0.01,99.99,0.0000,Pass
RLE,49,54264,8,457200,649699,0.01,99.99,0.0000,Pass
RLE,50,54264,8,489800,660500,0.01,99.99,0.0000,Pass
BZIP2,1,54264,47,1584600,753100,0.09,99.91,0.0000,Pass
BZIP2,2,54264,47,1666900,717001,0.09,99.91,0.0000,Pass
BZIP2,3,54264,47,1708300,707800,0.09,99.91,0.0000,Pass
BZIP2,4,54264,47,1685099,705300,0.09,99.91,0.0000,Pass
BZIP2,5,54264,47,1734299,697500,0.09,99.91,0.0000,Pass
BZIP2,6,54264,47,1643500,678201,0.09,99.91,0.0000,Pass
BZIP2,7,54264,47,1757799,720300,0.09,99.91,0.0000,Pass
BZIP2,8,54264,47,1416800,681801,0.09,99.91,0.0000,Pass
BZIP2,9,54264,47,1225200,688100,0.09,99.91,0.0000,Pass
BZIP2,10,54264,47,1265201,691001,0.09,99.91,0.0000,Pass
BZIP2,11,54264,47,1324400,755400,0.09,99.91,0.0000,Pass
BZIP2,12,54264,47,1242400,691700,0.09,99.91,0.0000,Pass
BZIP2,13,54264,47,1181100,694601,0.09,99.91,0.0000,Pass
BZIP2,14,54264,47,1204900,702800,0.09,99.91,0.0000,Pass
BZIP2,15,54264,47,1198899,690200,0.09,99.91,0.0000,Pass
BZIP2,16,54264,47,1197301,688300,0.09,99.91,0.0000,Pass
BZIP2,17,54264,47,1205500,696700,0.09,99.91,0.0000,Pass
BZIP2,18,54264,47,1056700,689600,0.09,99.91,0.0000,Pass
BZIP2,19,54264,47,1044399,637300,0.09,99.91,0.0000,Pass
BZIP2,20,54264,47,1004100,539201,0.09,99.91,0.0000,Pass
BZIP2,21,54264,47,1064800,602000,0.09,99.91,0.0000,Pass
BZIP2,22,54264,47,1019300,593001,0.09,99.91,0.0000,Pass
BZIP2,23,54264,47,1229601,701400,0.09,99.91,0.0000,Pass
BZIP2,24,54264,47,1030201,570199,0.09,99.91,0.0000,Pass
BZIP2,25,54264,47,1008800,654100,0.09,99.91,0.0000,Pass
BZIP2,26,54264,47,1017199,664500,0.09,99.91,0.0000,Pass
BZIP2,27,54264,47,1006501,616400,0.09,99.91,0.0000,Pass
BZIP2,28,54264,47,1282400,575799,0.09,99.91,0.0000,Pass
BZIP2,29,54264,47,1000400,586699,0.09,99.91,0.0000,Pass
BZIP2,30,54264,47,1235200,735100,0.09,99.91,0.0000,Pass
BZIP2,31,54264,47,1269300,694801,0.09,99.91,0.0000,Pass
BZIP2,32,54264,47,1231900,740300,0.09,99.91,0.0000,Pass
BZIP2,33,54264,47,1341100,716500,0.09,99.91,0.0000,Pass
BZIP2,34,54264,47,1218200,621899,0.09,99.91,0.0000,Pass
BZIP2,35,54264,47,1369301,737999,0.09,99.91,0.0000,Pass
BZIP2,36,54264,47,1221499,702001,0.09,99.91,0.0000,Pass
BZIP2,37,54264,47,1201201,698700,0.09,99.91,0.0000,Pass
BZIP2,38,54264,47,2341700,746599,0.09,99.91,0.0000,Pass
BZIP2,39,54264,47,1321899,688500,0.09,99.91,0.0000,Pass
BZIP2,40,54264,47,1186000,720000,0.09,99.91,0.0000,Pass
